Original,Mapped To
MOTOROLA SOLUTIONS,MOTOROLA SOLUTIONS
MSCI,MSCI
MSCI INC.,MSCI
NASDAQ,NASDAQ
NASDAQ INC,NASDAQ
NETAPP,NETAPP
NETAPP INC,NETAPP
NETFLIX,NETFLIX
NETFLIX INC,NETFLIX
NEWMONT,NEWMONT
NEWMONT CORP,NEWMONT
NEWS 'A',NEWS CORP
NEWS 'B',NEWS CORP
NEWS CORP,NEWS CORP
NEXTERA ENERGY,NEXTERA ENERGY
NIKE 'B',NIKE
NIKE INC.,NIKE
NISOURCE,NISOURCE
NISOURCE INC,NISOURCE
NORDSON,NORDSON
NORDSON CORPORATION,NORDSON
NORFOLK SOUTHERN,NORFOLK SOUTHERN
NORTHERN TRUST,NORTHERN TRUST
NORTHERN TRUST CORP,NORTHERN TRUST
NORTHROP GRUMMAN,NORTHROP GRUMMAN
NORWEGIAN CRUISE,NORWEGIAN CRUISE
NORWEGIAN CRUISE LINE HDG.,NORWEGIAN CRUISE
NRG ENERGY,NRG ENERGY
NRG ENERGY INC.,NRG ENERGY
NUCOR,NUCOR
NUCOR CORP,NUCOR
NVIDIA,NVIDIA
NVIDIA CORPORATION,NVIDIA
NVR,NVR
"NVR, INC.",NVR
NXP SEMICONDUCTORS,NXP SEMICONDUCTORS
O REILLY AUTOMOTIVE,O REILLY AUTOMOTIVE
OBILE US INC,T-MOBILE US
OCCIDENTAL PETROLEUM,OCCIDENTAL PETROLEUM
OCCIDENTAL PTL.,OCCIDENTAL PETROLEUM
OLD DOMINION FGT.LINES,OLD DOMINION FREIGHT
OLD DOMINION FREIGHT,OLD DOMINION FREIGHT
OMNICOM GROUP,OMNICOM GROUP
OMNICOM GROUP INC,OMNICOM GROUP
ON SEMICONDUCTOR,ON SEMICONDUCTOR
ONEOK,ONEOK
"ONEOK, INC.",ONEOK
ORACLE,ORACLE
ORACLE CORP,ORACLE
OTIS WORLDWIDE,OTIS WORLDWIDE
OTIS WORLDWIDE CORP,OTIS WORLDWIDE
PACCAR,PACCAR
PACCAR INC.,PACCAR
PACKAGING CORP,PACKAGING CORP
PACKAGING CORP.OF AM.,PACKAGING CORP
PALANTIR,PALANTIR
PALANTIR TECHNOLOGIES A,PALANTIR
PALO ALTO,PALO ALTO
PALO ALTO NETWORKS,PALO ALTO
PARAMOUNT GLOBAL,PARAMOUNT GLOBAL
PARAMOUNT GLOBAL B,PARAMOUNT GLOBAL
PARKE - ANNIFIN CORP,PARKER-HANNIFIN
PARKER-HANNIFIN,PARKER-HANNIFIN
PARKER-HANNIFIN - ANNIFIN,PARKER-HANNIFIN
PARKER-HANNIFIN CORP,PARKER-HANNIFIN
PARKER-HANNIFIN CORP - ANNIFIN CORP,PARKER-HANNIFIN
PAYCHEX,PAYCHEX
PAYCHEX INC,PAYCHEX
PAYCOM SOFTWARE,PAYCOM SOFTWARE
PAYCOM SOFTWARE INC,PAYCOM SOFTWARE
PAYPAL HOLDINGS,PAYPAL HOLDINGS
PAYPAL HOLDINGS INC,PAYPAL HOLDINGS
PENTAIR,PENTAIR
PENTAIR PLC,PENTAIR
PEPSICO,PEPSICO
PEPSICO INC,PEPSICO
PFIZER,PFIZER
PFIZER INC,PFIZER
PG&E,PG&E
PG&E CORP,PG&E
PHILIP MORRIS INTER,PHILIP MORRIS INTL.
PHILIP MORRIS INTL.,PHILIP MORRIS INTL.
PHILLIPS 66,PHILLIPS 66
PINNACLE WEST CAP.,PINNACLE WEST CAPTL
PINNACLE WEST CAPTL,PINNACLE WEST CAPTL
PNC FINL SVCS GROUP,PNC FINL SVCS GROUP
PNC FINL.SVS.GP.,PNC FINL SVCS GROUP
POOL,POOL
POOL CORP,POOL
PPG INDUSTRIES,PPG INDUSTRIES
PPG INDUSTRIES INC,PPG INDUSTRIES
PPL,PPL
PPL CORP,PPL
PRINCIPAL FINL GROUP,PRINCIPAL FINL GROUP
PRINCIPAL FINL.GP.,PRINCIPAL FINL GROUP
PROCTER & GAMBLE,PROCTER & GAMBLE
PROGRESSIVE CORP,PROGRESSIVE CORP
PROGRESSIVE OHIO,PROGRESSIVE CORP
PROLOGIS,PROLOGIS
PROLOGIS REIT,PROLOGIS
PRUDENTIAL FINANCIAL,PRUDENTIAL FINANCIAL
PRUDENTIAL FINL.,PRUDENTIAL FINANCIAL
PTC,PTC
PTC INC,PTC
PUB.SER.ENTER.GP.,PUBLIC SVC ENTRPR GR
PUBLIC STORAGE,PUBLIC STORAGE
PUBLIC SVC ENTRPR GR,PUBLIC SVC ENTRPR GR
PULTEGROUP,PULTEGROUP
QUALCOMM,QUALCOMM
QUALCOMM INC,QUALCOMM
QUANTA SERVICES,QUANTA SERVICES
"QUANTA SERVICES, INC",QUANTA SERVICES
QUEST DIAGNOSTICS,QUEST DIAGNOSTICS
RALPH LAUREN,RALPH LAUREN
RALPH LAUREN CL.A,RALPH LAUREN
RAYMOND JAMES FIN'L,RAYMOND JAMES FINL.
RAYMOND JAMES FINL.,RAYMOND JAMES FINL.
REALTY INCOME,REALTY INCOME
REALTY INCOME CORP,REALTY INCOME
REGENCY CENTERS,REGENCY CENTERS
REGENCY CENTERS CORP,REGENCY CENTERS
REGENERON PHARMA,REGENERON PHARMA
REGENERON PHARMS.,REGENERON PHARMA
REGIONS FINANCIAL,REGIONS FINANCIAL
REGIONS FINL.NEW,REGIONS FINANCIAL
REPUBLIC SERVICES,REPUBLIC SERVICES
REPUBLIC SVS.'A',REPUBLIC SERVICES
RESMED,RESMED
RESMED INC.,RESMED
REVVITY,REVVITY
REVVITY INC,REVVITY
ROCKWELL AUTOMATION,ROCKWELL AUTOMATION
ROLLINS,ROLLINS
"ROLLINS, INC.",ROLLINS
ROPER TECHNOLOGIES,ROPER TECHNOLOGIES
ROSS STORES,ROSS STORES
"ROSS STORES, INC.",ROSS STORES
ROYAL CARIBBEAN,ROYAL CARIBBEAN
ROYAL CARIBBEAN GROUP,ROYAL CARIBBEAN
RTX,RTX
RTX CORP,RTX
S&P GLOBAL,S&P GLOBAL
S&P GLOBAL INC,S&P GLOBAL
SALESFORCE,SALESFORCE
SALESFORCE INC,SALESFORCE
SBA COMMS.,SBA COMMS.
SBA COMMUNICATIONS,SBA COMMS.
SCHEIN (HENRY) INC,HENRY SCHEIN
SCHLUMBERGER,SCHLUMBERGER
SCHLUMBERGER NV,SCHLUMBERGER
SEAGATE TECHNOLOGY,SEAGATE TECHNOLOGY
SEAGATE TECHNOLOGY HOLDINGS,SEAGATE TECHNOLOGY
SEMPRA,SEMPRA
SERVICE,SERVICENOW
SERVICENOW,SERVICENOW
SHERWI - ILLIAMS CO,SHERWIN-WILLIAMS
SHERWIN-WILLIAMS,SHERWIN-WILLIAMS
SHERWIN-WILLIAMS - ILLIAMS,SHERWIN-WILLIAMS
SHERWIN-WILLIAMS CO,SHERWIN-WILLIAMS
SHERWIN-WILLIAMS CO - ILLIAMS CO,SHERWIN-WILLIAMS
SIMON PROPERTY GROUP,SIMON PROPERTY GROUP
SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS
SMITH (AO),A O SMITH CORP
SMURFIT WEST,SMURFIT WESTROCK
SMURFIT WESTROCK,SMURFIT WESTROCK
SNA - N INC,SNAP-ON
SNAP-ON,SNAP-ON
SNAP-ON - N,SNAP-ON
SNAP-ON INC,SNAP-ON
SNAP-ON INC - N INC,SNAP-ON
SOLVENTUM,SOLVENTUM
SOLVENTUM CORP,SOLVENTUM
SOUTHERN,SOUTHERN
SOUTHERN CO,SOUTHERN
SOUTHWEST AIRLINES,SOUTHWEST AIRLINES
STANLEY BLACK,STANLEY BLACK & DECKER
STANLEY BLACK & DECKER,STANLEY BLACK & DECKER
STARBUCKS,STARBUCKS
STARBUCKS CORP,STARBUCKS
STATE STREET,STATE STREET
STATE STREET CORP,STATE STREET
STEEL DYNAMICS,STEEL DYNAMICS
"STEEL DYNAMICS, INC.",STEEL DYNAMICS
STERIS,STERIS
STERIS PLC,STERIS
STRYKER,STRYKER
STRYKER CORPORATION,STRYKER
SUPER MICRO COMPUTER,SUPER MICRO COMPUTER
SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL
SYNOPSYS,SYNOPSYS
SYNOPSYS INC,SYNOPSYS
SYSCO,SYSCO
SYSCO CORPORATION,SYSCO
T ROWE PRICE,T ROWE PRICE
T ROWE PRICE GROUP,T ROWE PRICE
T-MOBILE US,T-MOBILE US
T-MOBILE US - OBILE US,T-MOBILE US
T-MOBILE US INC,T-MOBILE US
T-MOBILE US INC - OBILE US INC,T-MOBILE US
TAKE,TAKE TWO
TAKE TWO INTACT.SFTW.,TAKE TWO
TAPESTRY,TAPESTRY
TAPESTRY INC,TAPESTRY
TARGA RESOURCES,TARGA RESOURCES
TARGET,TARGET
TARGET CORP,TARGET
TE CONNECTIVITY,TE CONNECTIVITY
TE CONNECTIVITY PLC,TE CONNECTIVITY
TELEDYNE TECH.,TELEDYNE TECH.
TELEDYNE TECHS.,TELEDYNE TECH.
TERADYNE (XSC),TERADYNE INC
TERADYNE INC,TERADYNE INC
TESLA,TESLA
TESLA INC,TESLA
TEXAS INSTRUMENTS,TEXAS INSTRUMENTS
TEXAS PACIFIC LAND,TEXAS PACIFIC LAND
TEXAS PACIFIC LAND TRUST,TEXAS PACIFIC LAND
TEXTRON,TEXTRON
TEXTRON INC,TEXTRON
THE CAMPBELL S COMPANY,CAMPBELL'S CO
THERMO FISHER,THERMO FISHER
THERMO FISHER SCIENTIFIC,THERMO FISHER
TJX,TJX COMPANIES INC
TJX COMPANIES INC,TJX COMPANIES INC
TKO GROUP HOLDINGS,TKO GROUP HOLDINGS
TKO GROUP HOLDINGS A,TKO GROUP HOLDINGS
TRACTOR SUPPLY,TRACTOR SUPPLY
TRANE TECHNOLOGIES,TRANE TECHNOLOGIES
TRANSDIGM GROUP,TRANSDIGM GROUP
TRANSDIGM GRP INC,TRANSDIGM GROUP
TRAVELERS COS,TRAVELERS COS
TRAVELERS COS.,TRAVELERS COS
TRIMBLE,TRIMBLE
TRIMBLE INC,TRIMBLE
TRUIST FINANCIAL,TRUIST FINANCIAL
TYLER TECHNOLOGIES,TYLER TECHNOLOGIES
TYSON FOODS 'A',TYSON FOODS
"TYSON FOODS, INC.",TYSON FOODS
UBER TECHNO,UBER TECHNOLOGIES
UBER TECHNOLOGIES,UBER TECHNOLOGIES
UDR,UDR
UDR INC,UDR
ULTA BEAUTY,ULTA BEAUTY
ULTA BEAUTY INC,ULTA BEAUTY
UNION PACIFIC,UNION PACIFIC
UNION PACIFIC CORP,UNION PACIFIC
UNITED AIR,UNITED AIRLINES HOLDINGS
UNITED AIRLINES HOLDINGS,UNITED AIRLINES HOLDINGS
UNITED PARCEL SER.'B',UNITED PARCEL SVCS
UNITED PARCEL SVCS,UNITED PARCEL SVCS
UNITED RENTALS,UNITED RENTALS
UNITED RENTALS INC,UNITED RENTALS
UNITEDHEALTH GROUP,UNITEDHEALTH GROUP
UNIVERSAL HEALTH SVC,UNIVERSAL HEALTH SVC
UNIVERSAL HEALTH SVS.'B',UNIVERSAL HEALTH SVC
US BANCORP,US BANCORP
VALERO ENERGY,VALERO ENERGY
VALERO ENERGY CORP,VALERO ENERGY
VENTAS,VENTAS
VENTAS INC,VENTAS
VERALTO,VERALTO
VERALTO CORP,VERALTO
VERISIGN,VERISIGN
"VERISIGN, INC",VERISIGN
VERISK ANALYTICS,VERISK ANALYTICS
VERISK ANALYTICS CL.A,VERISK ANALYTICS
VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS
VERIZON COMMUNICATNS,VERIZON COMMUNICATIONS
VERTEX PHARMA INC,VERTEX PHARMS.
VERTEX PHARMS.,VERTEX PHARMS.
VIATRIS,VIATRIS
VIATRIS INC,VIATRIS
VICI PPTYS,VICI PROPERTIES
VICI PROPERTIES,VICI PROPERTIES
VISA 'A',VISA
VISA INC.,VISA
VISTRA,VISTRA
VULCAN MATERIALS,VULCAN MATERIALS
W R BERKLEY,W R BERKLEY
W R BERKLEY CORP,W R BERKLEY
WABTEC,WABTEC
WALGREENS BOOTS,WALGREENS BOOTS
WALGREENS BOOTS ALLIANCE,WALGREENS BOOTS
WALMART,WALMART
WALMART INC,WALMART
WALT DISNEY,WALT DISNEY
WARNER BROS,WARNER BROS
WARNER BROS DISCOVERY SERIES A,WARNER BROS
WASTE MANAGEMENT,WASTE MANAGEMENT
WATERS,WATERS
WATERS CORP,WATERS
WEC ENERGY GROUP,WEC ENERGY GROUP
WEC ENERGY GROUP INC,WEC ENERGY GROUP
WELLS FARGO & CO,WELLS FARGO & CO
WELLTOWER,WELLTOWER
WEST PHARM.SVS.,WEST PHARMACEUTICAL
WEST PHARMACEUTICAL,WEST PHARMACEUTICAL
WESTERN DIGITAL,WESTERN DIGITAL
WESTERN DIGITAL CORP,WESTERN DIGITAL
WESTINGHOUSE AIR,WABTEC
WEYERHAEUSER,WEYERHAEUSER
WEYERHAEUSER CO,WEYERHAEUSER
WILLIAM,WILLIAMS
WILLIAM - ONOMA,WILLIAMS-SONOMA
WILLIAMS,WILLIAMS
WILLIAMS COMPANIES,WILLIAMS
WILLIAMS-SONOMA,WILLIAMS-SONOMA
WILLIAMS-SONOMA - ONOMA,WILLIAMS-SONOMA
WILLIS TOWERS WAT,WILLIS TOWERS WATSON
WILLIS TOWERS WATSON,WILLIS TOWERS WATSON
WORKDAY,WORKDAY
WORKDAY CLASS A,WORKDAY
WW GRAINGER,WW GRAINGER
WW GRAINGER INC,WW GRAINGER
WYNN RESORTS,WYNN RESORTS
WYNN RESORTS LTD,WYNN RESORTS
XCEL ENERGY,XCEL ENERGY
XCEL ENERGY INC,XCEL ENERGY
XYLEM,XYLEM
XYLEM INC,XYLEM
YUM! BRANDS,YUM! BRANDS
YUM! BRANDS INC,YUM! BRANDS
ZEBRA TECHNOLOGIES,ZEBRA TECHNOLOGIES
ZEBRA TECHNOLOGIES 'A',ZEBRA TECHNOLOGIES
ZIMMER BIOMET,ZIMMER BIOMET
ZIMMER BIOMET HDG.,ZIMMER BIOMET
ZOETIS,ZOETIS
ZOETIS A,ZOETIS
